id,product_name,brand,category,gender,size,color,price,short_description,long_description,image_paths
48,Anne Klein Green Blouses,Anne Klein,blouses,Women,,Green,250000,Shop the  Green blouses — a stylish women blouses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Green blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\anne_klein_tropical_green_multisizesjpeg_48\image_1.jpeg
49,Calvin Klein Blouses (XS),Calvin Klein,blouses,Women,XS,,200000,The   blouses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The   blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\calvin_klein_cayenne_size_xsjpeg_49\image_1.jpeg
50,DKNY Sequin Blouses (L),DKNY,blouses,Women,L,Sequin,300000,Add  Sequin to your collection — quality women blouses crafted for the modern individual. Order now!,"The  Sequin blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\dknyblack_sequin_size_ljpeg_50\image_1.jpeg
51,Donna Karan Grey Blouses (XL),Donna Karan,blouses,Women,XL,Grey,420000,Shop the  Grey blouses — a stylish women blouses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Grey blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\donna_karan_grey_size_xljpeg_51\image_1.jpeg
52,Donna Karan Peach Blouses (XS),Donna Karan,blouses,Women,XS,Peach,250000,Shop the  Peach blouses — a stylish women blouses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Peach blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\donna_karan_nude_peach_size_xsjpeg_52\image_1.jpeg
53,Donna Karan Peach Blouses (XL),Donna Karan,blouses,Women,XL,Peach,250000,Shop the  Peach blouses — a stylish women blouses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Peach blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\donna_karan_nude_peachsize_xljpeg_53\image_1.jpeg
54,Hawes & Curtis Floral Blouses,Hawes & Curtis,blouses,Women,,Floral,300000,"Discover  Floral blouses — where elegance meets everyday comfort. Great value, lasting impression.","The  Floral blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\hawes_curtis_pink_floral_size12ukjpeg_54\image_1.jpeg
55,Light Blue Blouses,,blouses,Women,,Light Blue,300000,Add  Light Blue to your collection — quality women blouses crafted for the modern individual. Order now!,"The  Light Blue blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\hawes_curtis_light_blue_red_size_12ukjpeg_55\image_1.jpeg
56,Hawes &Curtis Cream Blouses,Hawes &Curtis,blouses,Women,,Cream,300000,Shop the  Cream blouses — a stylish women blouses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Cream blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\hawes_curtis_cream_size_18ukjpeg_56\image_1.jpeg
57,I.N.C Black Blouses (M),I.N.C,blouses,Women,M,Black,250000,The  Black blouses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Black blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\inc_black_size_mjpeg_57\image_1.jpeg
58,I.N.C Green Blouses (S),I.N.C,blouses,Women,S,Green,250000,"Discover  Green blouses — where elegance meets everyday comfort. Great value, lasting impression.","The  Green blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\inc_green_size_sjpeg_58\image_1.jpeg
59,I.N.C Floral Blouses (M),I.N.C,blouses,Women,M,Floral,380000,Add  Floral to your collection — quality women blouses crafted for the modern individual. Order now!,"The  Floral blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\inc_green_floral_size_mjpeg_59\image_1.jpeg
60,I.N.C Floral Blouses (M),I.N.C,blouses,Women,M,Floral,250000,Add  Floral to your collection — quality women blouses crafted for the modern individual. Order now!,"The  Floral blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\inc_red_floral_size_mjpeg_60\image_1.jpeg
61,I.N.C Black Blouses (XS),I.N.C,blouses,Women,XS,Black,250000,The  Black blouses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Black blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\inc_lime_black_size_xsjpeg_61\image_1.jpeg
62,I.N.C Pattern Blouses (XXL),I.N.C,blouses,Women,XXL,Pattern,380000,"Discover  Pattern blouses — where elegance meets everyday comfort. Great value, lasting impression.","The  Pattern blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\inc_yellow_white_patterns_size_xxljpeg_62\image_1.jpeg
63,I.N.C Red Blouses,I.N.C,blouses,Women,,Red,250000,"Discover  Red blouses — where elegance meets everyday comfort. Great value, lasting impression.","The  Red blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\inc-pink-red-xl-250k-3topsjpgjpeg_63\image_1.jpeg
64,Kasper green floral Blouses (XL),Kasper green floral,blouses,Women,XL,Floral,250000,The  Floral blouses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Floral blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\kasper_green_floralsize_xljpeg_64\image_1.jpeg
65,Kasper orange floral Blouses (M),Kasper orange floral,blouses,Women,M,Floral,380000,Add  Floral to your collection — quality women blouses crafted for the modern individual. Order now!,"The  Floral blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\kasper_orange_floral_size_mjpeg_65\image_1.jpeg
66,Kasper Floral Blouses (S),Kasper,blouses,Women,S,Floral,300000,The  Floral blouses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Floral blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\kasper_green_floralsize_sjpeg_66\image_1.jpeg
67,Kasper Red Blouses,Kasper,blouses,Women,,Red,250000,The  Red blouses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Red blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\kasper_multi_colored_size_1xjpeg_67\image_1.jpeg
68,Kasper Floral Blouses (PM),Kasper,blouses,Women,PM,Floral,250000,"Discover  Floral blouses — where elegance meets everyday comfort. Great value, lasting impression.","The  Floral blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\kasper_multi_floral_size_pmjpeg_68\image_1.jpeg
69,Kasper Blouses (L),Kasper,blouses,Women,L,,250000,Add   to your collection — quality women blouses crafted for the modern individual. Order now!,"The   blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\kasper_size_l_usjpeg_69\image_1.jpeg
70,MNG Cream Blouses (S),MNG,blouses,Women,S,Cream,200000,Add  Cream to your collection — quality women blouses crafted for the modern individual. Order now!,"The  Cream blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\mng_cream_size_sjpeg_70\image_1.jpeg
71,MNG Orange Blouses (M),MNG,blouses,Women,M,Orange,250000,The  Orange blouses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Orange blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\mng_burnt_orange_size_mjpeg_71\image_1.jpeg
72,MNG Blouses (S),MNG,blouses,Women,S,,150000,"Discover   blouses — where elegance meets everyday comfort. Great value, lasting impression.","The   blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\mng_sliver_size_s_150kjpeg_72\image_1.jpeg
73,MNG Blouses (S),MNG,blouses,Women,S,,150000,Add   to your collection — quality women blouses crafted for the modern individual. Order now!,"The   blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\mng_sliver_size_sjpeg_73\image_1.jpeg
74,ON.34TH BLACK Blouses,ON.34TH BLACK,blouses,Women,,Black,200000,Shop the  Black blouses — a stylish women blouses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Black blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\on34th_black_size_0xjpeg_74\image_1.jpeg
75,Blouses (S),,blouses,Women,S,,175000,"Discover   blouses — where elegance meets everyday comfort. Great value, lasting impression.","The   blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\style_co_size_sjpeg_75\image_1.jpeg
76,Tommy Hilfiger Orange Blouses (XL),Tommy Hilfiger,blouses,Women,XL,Orange,250000,Add  Orange to your collection — quality women blouses crafted for the modern individual. Order now!,"The  Orange blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\tommy_hilfiger_burnt_orange_size_xljpeg_76\image_1.jpeg
77,Vince Camuto Black Blouses (M),Vince Camuto,blouses,Women,M,Black,250000,"Discover  Black blouses — where elegance meets everyday comfort. Great value, lasting impression.","The  Black blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\vince_camuto_black_goldsize_mjpeg_77\image_1.jpeg
78,Vince Camuto Red Blouses (XS),Vince Camuto,blouses,Women,XS,Red,300000,Shop the  Red blouses — a stylish women blouses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Red blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\vince_camuto_mustered_size_xsjpeg_78\image_1.jpeg
79,Zara Brown Blouses (M),Zara,blouses,Women,M,Brown,200000,"Discover  Brown blouses — where elegance meets everyday comfort. Great value, lasting impression.","The  Brown blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\zara_brown_satin_size_mjpeg_79\image_1.jpeg
80,Zara Navy Blue Blouses (M),Zara,blouses,Women,M,Navy Blue,200000,Shop the  Navy Blue blouses — a stylish women blouses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Navy Blue blouses is a premium women blouses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  blouses — a wardrobe essential.",product_images\Women\zaranavy_bluesize_mjpeg_80\image_1.jpeg
81,Adrianna Papell Maroon Dresses (12 US),Adrianna Papell,dresses,Women,12 US,Maroon,600000,Shop the  Maroon dresses — a stylish women dresses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Maroon dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\adrianna_papell_maroon_size_12usjpeg_81\image_1.jpeg
82,Adrianna Papell Maroon Dresses (14 US),Adrianna Papell,dresses,Women,14 US,Maroon,980000,The  Maroon dresses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Maroon dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\adrianna_papell_maroon_size_14usjpeg_82\image_1.jpeg
83,Adrianna Papell Navy Dresses (4 US),Adrianna Papell,dresses,Women,4 US,Navy,540000,The  Navy dresses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Navy dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\adrianna_papell_navy_size_4usjpeg_83\image_1.jpeg
84,Anne Klein Dresses (6 US),Anne Klein,dresses,Women,6 US,,540000,Shop the   dresses — a stylish women dresses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The   dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\anne_klein_soft_aloe_size_6usjpeg_84\image_1.jpeg
85,Calvin Klein Navy Dresses (10 US),Calvin Klein,dresses,Women,10 US,Navy,540000,"Discover  Navy dresses — where elegance meets everyday comfort. Great value, lasting impression.","The  Navy dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\calvin_klein_navy_size_10usjpeg_85\image_1.jpeg
86,Calvin Klein Navy Dresses (8 US),Calvin Klein,dresses,Women,8 US,Navy,540000,Add  Navy to your collection — quality women dresses crafted for the modern individual. Order now!,"The  Navy dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\calvin_klein_navy_size_8usjpeg_86\image_1.jpeg
87,Calvin Klein Dresses (6 US),Calvin Klein,dresses,Women,6 US,,580000,"Discover   dresses — where elegance meets everyday comfort. Great value, lasting impression.","The   dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\calvin_klein_size_6usjpeg_87\image_1.jpeg
88,Connected Apparel Floral Dresses,Connected Apparel,dresses,Women,,Floral,450000,"Discover  Floral dresses — where elegance meets everyday comfort. Great value, lasting impression.","The  Floral dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\connected_apparel_multi_floral_size_20wjpeg_88\image_1.jpeg
89,DKNY Floral Dresses (12 US),DKNY,dresses,Women,12 US,Floral,830000,Shop the  Floral dresses — a stylish women dresses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Floral dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\dkny_green_floral_size_12usjpeg_89\image_1.jpeg
90,DKNY Dresses (16 US),DKNY,dresses,Women,16 US,,450000,The   dresses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The   dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\dkny_linen_blend_size_16usjpeg_90\image_1.jpeg
91,DKNY Sequin Dresses (6 US),DKNY,dresses,Women,6 US,Sequin,580000,Shop the  Sequin dresses — a stylish women dresses that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Sequin dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\dkny_black_sequin_size_6usjpeg_91\image_1.jpeg
92,DKNY Orange Dresses,DKNY,dresses,Women,,Orange,540000,The  Orange dresses delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Orange dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\dkny_orange_size12jpeg_92\image_1.jpeg
93,DKNY Green Dresses (8 US),DKNY,dresses,Women,8 US,Green,310000,"Discover  Green dresses — where elegance meets everyday comfort. Great value, lasting impression.","The  Green dresses is a premium women dresses designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  dresses — a wardrobe essential.",product_images\Women\dkny_green_size_8usjpeg_93\image_1.jpeg
